mean,min,max,q0.025,q0.05,q0.25,q0.5,q0.75,q0.9,q0.975,year,alt
5341808.00307798,558095.011482646,17151595.9976284,1569567.52154407,1839706.56246273,3117317.89569397,4800109.45287856,6949763.05976796,9147786.40907073,12610792.9443331,1997,SummerFall_Even
6596097.65093563,647392.824901579,20744183.8376067,1650787.76175827,1940614.38282414,3610044.65728036,5790411.30637738,8435260.28410084,12642706.294649,16313236.7442243,1998,SummerFall_Even
14875634.5147862,1381050.11106562,46983662.5597361,3625318.10350705,4247144.61159776,8067232.7361004,12840108.6921276,19149190.4192185,28236067.9327916,37997853.770437,1999,SummerFall_Even
30295430.5637538,2035109.07989457,105285425.80163,7156462.78283039,8744465.96189478,15483402.3312621,26059856.5415405,37389113.8622228,58889015.5482419,86560792.9017769,2000,SummerFall_Even
43406025.9005936,3609877.77541811,149995827.652568,9483075.62093655,11498817.3787553,21154070.4820947,36473077.176385,55976283.0158017,85219664.2967209,116031511.897011,2001,SummerFall_Even
67429301.0679602,6337278.69344407,266304139.847219,14979611.889604,17056182.3669052,33843325.095216,56278903.523994,86121048.8168275,134491097.726884,194734809.789799,2002,SummerFall_Even
124440250.552667,9371613.48443044,526678051.705088,26849312.1192041,30143278.9953603,58701429.9895502,100319184.610853,158989324.215314,243134737.997647,342658176.754613,2003,SummerFall_Even
105297926.582665,6285342.45884471,461706239.257859,22196912.4781431,26154041.7465239,49540710.366079,82622615.0364077,138963125.05589,209482783.347456,294106318.709483,2004,SummerFall_Even
90013373.1621115,3663943.89746415,369592060.048545,16983714.6252805,21406768.2412134,40690577.6854558,72154783.8500371,118545072.920891,175637542.691983,269284164.037316,2005,SummerFall_Even
96655906.2646669,3189643.8954011602,465413862.62683,17839347.7528128,22942658.6033182,44009580.5678421,75329207.6500167,127665528.07956,188570258.338339,297911065.271594,2006,SummerFall_Even
43625640.1557714,1879421.87060642,231876814.935503,7599014.72980336,9832612.29409541,19489913.9515783,33382937.3069051,59019843.3537222,84793499.9220999,143762523.236113,2007,SummerFall_Even
34656931.7392811,1428746.33972634,160182397.34196,5797878.12121038,6863912.81224581,14540463.9613737,26999322.3788283,46248198.2168711,67720737.4180752,110943375.709212,2008,SummerFall_Even
27883991.3163228,1001921.2191714,146433698.306505,4218842.06441025,4971855.23269619,11451617.2777142,21770746.0621784,35900557.0697911,53604357.5012018,100197872.711732,2009,SummerFall_Even
17543358.7418444,734726.637953885,104202015.524493,2492809.98563856,3008724.87859924,7192590.86662521,12911930.0765547,23218077.1209261,34664452.2447994,66261791.779316,2010,SummerFall_Even
9517542.71882123,354889.696597183,80462582.5263535,1256507.47882023,1583818.18275227,3743188.80632334,7235873.92674113,12277161.1323306,18816637.6368051,33490380.935894,2011,SummerFall_Even
8939943.81553292,344893.172794557,64475937.8401964,1128436.34480288,1479485.10303986,3680642.87930926,6727196.52885751,11471192.6813872,17772810.4264663,33870204.4470883,2012,SummerFall_Even
4002080.43927958,127091.519402109,26799257.4315396,467086.485264508,589806.792835866,1574861.74586361,2823310.04398804,5043485.22602462,8066300.06627183,14516904.6737607,2013,SummerFall_Even
1647770.86868049,59973.359112703,10568291.7682944,177543.781989671,239915.395052822,627980.988420562,1186594.19798475,2045980.3616799,3317243.94538392,6833328.11880352,2014,SummerFall_Even
5643321.6330372,982270.789899952,19581629.3662104,1433597.39399696,1864778.7861254,3650625.48178889,5336314.69325349,7196998.55159505,8867561.07289612,11559179.976017,1996,Summer_Even
4543096.0040413,741563.978161894,16551177.2848439,1093003.34504865,1334186.36114474,2892507.59650637,3986117.55553869,5897497.75337361,7773981.01989298,10260810.161336,1997,Summer_Even
6423673.40439547,961386.967827505,26128025.6154659,1540182.96466608,2069875.3063882,3647828.78632384,5583050.80341935,8173072.97174817,10992960.8234603,16161326.1260134,1998,Summer_Even
14699105.6344121,2038698.9816679,61661229.3714906,3830622.96030852,4376158.74797639,8155039.58390874,12962425.3087606,18604305.7215796,26134683.8819251,36952577.3527278,1999,Summer_Even
29350908.5020011,3969698.04646531,137805875.764522,7165652.99876824,7877255.82661625,15746029.0708507,25426740.6062766,37160650.2819013,51274767.8649568,76328243.5587033,2000,Summer_Even
44958880.711404,6628916.3968733,228209526.045957,10356541.608536,12185504.1737632,23720186.1732502,37507298.8263601,55314172.2519596,81894118.0154863,119543054.903933,2001,Summer_Even
71962229.1498099,6106514.50025734,376928189.196674,14065021.6529318,18154420.6772036,37198868.7559848,57271870.5336668,91336475.3606507,137740175.956067,208500423.861221,2002,Summer_Even
130081043.200323,14330576.6935488,648171075.054796,26769772.5488372,32291983.1620185,64901454.7645021,106176284.72763,164688269.922614,246789081.987087,390773920.48354,2003,Summer_Even
110685211.48754,12551699.4740257,494134197.960079,20961358.1734256,24824713.1718283,52251143.8373478,86997100.2961295,142702090.280927,219818731.546178,330582284.807438,2004,Summer_Even
96327132.3768565,8055658.90988055,486885535.138764,15995769.6908267,20538551.0610995,45868288.7498722,74934856.3885428,119627992.351512,185401052.337194,308788687.511328,2005,Summer_Even
103904565.116873,7617927.621014,444018917.027795,16995866.5066251,21188209.5759178,50271449.9024628,83953055.4939034,136487145.222471,208893836.933624,327539661.046341,2006,Summer_Even
46752282.8122041,3724529.31990435,216805105.667496,7495558.55135817,9862845.41467187,21686256.3203562,36960167.0456202,60619721.5205287,93910557.7101468,151933344.575945,2007,Summer_Even
37381840.3531575,2502455.73810696,206670256.795777,5516814.17913693,7508295.6514475,17141535.123496,28391673.6321184,45982984.5479877,80836910.827881,126435335.026259,2008,Summer_Even
32722827.135006,2514928.5458868,142409647.55058,4462226.48330547,5622673.41718279,14264273.1350212,24676492.2010517,41438403.9731964,69118280.5401354,112999329.602854,2009,Summer_Even
20671529.2929191,1317901.73669154,102140149.383733,2803460.97724208,3869791.88346797,8395875.00626011,15314452.5679116,26747598.342087,43088745.7093853,73260995.8002247,2010,Summer_Even
11278612.9086728,610988.621089795,65965143.8734173,1521307.03720556,1939809.42337006,4517601.55379182,7996728.00579827,14433896.8574651,23064509.8289346,42331578.5799932,2011,Summer_Even
10975559.4202411,699422.75102493,63298795.7682535,1399646.21553855,1872718.00892335,4151562.80455686,7942750.20694868,14738747.3555603,21714993.6612318,40507792.1698516,2012,Summer_Even
4412533.16853585,249759.232127054,28847776.2562219,548295.062031971,743776.768405399,1703854.27033325,3050487.5446007,5845896.79672925,8669174.94337071,18045617.103038,2013,Summer_Even
1763809.66109751,92382.041987342,10108950.0658415,208457.27093257,264852.331896872,671334.607529011,1266221.2447365,2246908.77495024,3675288.97354368,7581954.46061772,2014,Summer_Even
5423893.57224171,431393.68079015,19699620.1488964,1595961.33656592,1907606.68453934,3509430.20880896,5006809.39896659,6926709.75121816,8850750.50964239,11452414.3395498,1996,Summer_Even_AltSMSCG
4345616.12365296,388874.900909561,18264648.0029562,1326802.61141034,1504842.2240266,2739190.53044976,4066172.76492705,5497885.19077387,7158340.10094541,9442684.59973683,1997,Summer_Even_AltSMSCG
5954267.41236952,598867.347400723,19373283.788058,1654389.61667571,1828868.49961898,3791044.06747248,5330141.49077495,7881209.61468751,9800221.89590039,13065079.863594,1998,Summer_Even_AltSMSCG
13661792.1314639,1508086.91903119,46700509.0057285,3666748.13377903,4292007.31906432,8589743.92105931,12182921.608531,17517052.2683027,23302022.4433406,30291042.7388186,1999,Summer_Even_AltSMSCG
