"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxDS_Hist",1999,-4516.12903225806,-4625,-4550,-3970.90938193107,-3835.38301742151,-1870.58455844495,-10434.7198848813,-10583.9861820328,-5382.65017704756,-5086.04445959182,-8239.45155657052,-6274.24951207326
"MaxDS_Hist",2000,-3645.16129032258,-3887.2961455986,-4025,-3995,-3657.03550313941,-2018.08960258561,-10071.9376297766,-10613.1487159755,-3919.40377069084,-1454.31318451085,-6304.21426813266,-4169.82628180445
"MaxDS_Hist",2001,-4745,-3580.35714285714,-3905,-1817.16476588515,-747.865539095104,-1337.05426896743,-4250.23466552779,-3449.37719681831,-4615.26266389105,-1974.42399293962,-4700.12178208455,-5290.32258064516
"MaxDS_Hist",2002,-3875.96774193548,-3103.78545323529,-3500,-2497.15586368054,-2703.84844340769,-4400,-7301.92323964896,-5287.76187086244,-4869.09240895491,-3798.68424036335,-4643.43419868768,-5290.32258064516
"MaxDS_Hist",2003,-3875.96774193548,-3741.07142857143,-3500,-2357.04441081505,-3417.39358874243,-2436.85636543901,-10331.5140677875,-11593.8945733753,-6272.90776930467,-3115.66875201117,-7569.19092370957,-5290.32258064516
"MaxDS_Hist",2004,-4343.38709677419,-4237.06896551724,-3575,-2564.8877704267,-2721.46057126424,-4475,-11252.5423039884,-11233.6530545623,-6934.20312802008,-6798.91015294267,-5353.67797971099,-5290.32258064516
"MaxDS_Hist",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3965.83378801391,-4850,-9291.86361804079,-10824.0675902096,-9879.59046480667,-9296.66234524334,-7518.39713362492,-5290.32258064516
"MaxDS_Hist",2006,-5000,-4464.28571428571,-446.438642856533,1655.00165889005,4219.20392465458,-2217.5137096251,-9488.05921050044,-9152.22136219405,-5161.73583147098,-3598.82533738131,-9103.9382882328,-5290.32258064516
"MaxDS_Hist",2007,-4917.41221838484,-4030.35714285714,-3500,-2317.5101056974,-2835.84827938968,-4400,-5453.16145748954,-4059.77362956057,-5241.59446398158,-3805.45922185945,-2080.90925427951,-2358.78103045464
"MaxDS_Hist",2008,-3126.93548387097,-3991.37931034483,-1793.85858228755,-2503.8898522647,-2541.06347207632,-2957.26555058385,-4130.9639458548,-3453.66259397109,-4205.29167330805,-3126.04970619415,-1107.94864842146,-3015.07464759644
"MaxDS_Hist",2009,-114.377022577824,-3808.03571428571,-4325,-1424.24756033135,-2914.57583083461,-4850,-4215.90954935054,-3674.73910997149,-6769.06839934105,-5019.37705431617,-3587.90387256436,-2923.92731584275
"MaxDS_Hist",2010,-3439.51612903226,-3982.14285714286,-3905,-3377.40444423798,-3472.80336202271,-4475,-11174.0096776422,-10797.8803107298,-9187.92927414304,-9562.73625277224,-9227.75406478787,-5290.32258064516
"MaxDS_Hist",2011,-4516.12903225806,-4223.21428571429,2707.8086442223,-3958.84982953506,-4733.0988244677,-5000,-9353.13206340175,-7375.184072569,-8384.52717494439,-4891.16416949898,-9325.1706645734,-8762.42781686431
"MaxDS_Hist",2012,-5000,-4209.57991255052,-3905,-2714.59252103052,-3114.11974397362,-4475,-7492.26631005865,-5960.57618965061,-5184.74088511035,-4753.18254892423,-4840.75101805517,-5290.32258064516
"MaxDS_Hist",2013,-4363.70967741936,-2215.37909716616,-3500,-1728.95200766008,-2439.20148102279,-2286.4322828001,-4635.82286815954,-3601.7564919315,-5258.09539212397,-1799.50785118063,-1861.42238396308,-1984.36329494368
"MaxDS_Hist",2014,-575.572218734468,-3808.03571428571,-4325,-1480.95156597451,-1445.29359295632,-1484.82204954408,-1570.51716592545,-2119.07283728925,-2589.2300090211,-2151.77312933992,-759.242943854335,-5290.32258064516
"MaxWater",1995,-3645.16129032258,-4464.28571428571,-3800.36820807485,-4152.99462182354,-490.664200914983,-4486.18374082862,-9550.31237411206,-10714.5057946456,-10924.3494491598,-10036.7837915529,-9020.6949771149,-5290.32258064516
"MaxWater",1996,-4516.12903225806,-3892.54661955333,-4550,-4130,-3954.96509946982,-4505,-11175.1074520599,-11238.9314279526,-8647.1194137824,-9878.01828623309,-8618.42467689767,-2885.5438085553
"MaxWater",1997,25305.7546546588,1914.94039458456,-4058.57620639213,-3472.5457201421,-3004.28347701555,-3784.12138623654,-10806.514637459,-11102.2180462751,-7132.59439301041,-5384.19745232103,-7815.51505651358,-5290.32258064516
"MaxWater",1998,-4516.12903225806,4500.79664302295,-4550,-2209.21042516392,-136.599497343362,-2149.12755458935,-8294.50396681281,-9395.96710209033,-9700.05005696273,-8994.18110718463,-8731.20974809686,-5290.32258064516
"MaxWater",1999,-4516.12903225806,-4625,-4550,-3978.86550878457,-3852.00228196438,-4505,-10888.0600401505,-10313.6646100135,-10215.0689282787,-7866.66329749271,-6198.18595577568,-3450.01419178349
"MaxWater",2000,-3645.16129032258,-3863.24010282137,-4025,-3995,-3863.83772299883,-4490,-10924.9796948243,-11166.9251257567,-7433.78976059036,-6803.39528692617,-5716.89992901077,-3730.19786778289
"MaxWater",2001,-4745,-3580.35714285714,-3905,-2076.32408819223,-3105.65170917769,-4400,-6028.41376317155,-4696.52684316551,-5140.67459417282,-3685.71588804653,-5212.08347171864,-5290.32258064516
"MaxWater",2002,-3875.96774193548,-4030.35714285714,-3500,-2702.19306524834,-2725.0887013491,-4400,-8041.88440727587,-6135.23487724834,-4955.85866596068,-4848.07111373481,-4789.87959061811,-5290.32258064516
"MaxWater",2003,-3875.96774193548,-3741.07142857143,-3500,-2364.81044060683,-3278.83310523276,-4490,-10488.1993694937,-11571.5675330812,-9762.15454393336,-7093.00852224979,-5315.960178114,-5290.32258064516
"MaxWater",2004,-4343.38709677419,-4237.06896551724,-3575,-2577.88334953638,-2720.7405016821,-4475,-11211.1124392065,-11216.9730241915,-6314.87484400859,-6667.85821782178,-5494.32442437428,-5290.32258064516
"MaxWater",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3919.82135687128,-4850,-9200.56885847069,-10806.6040578621,-10039.390857647,-9215.35893363856,-7931.81097599386,-5290.32258064516
"MaxWater",2006,-5000,-4464.28571428571,-404.703793395848,1711.40964674732,4280.50059271916,-4256.72468521628,-8764.43694316111,-10753.0100445613,-10505.158341277,-9386.98642447914,-9368.98800050416,-5290.32258064516
"MaxWater",2007,-5000,-4030.35714285714,-3500,-2343.90141597831,-2868.59796077305,-4400,-11202.5932799622,-6697.61511578247,-7686.48923533844,-6396.10555214776,-4604.59044937419,-3395.95991856461
"MaxWater",2008,-3126.93548387097,-3991.37931034483,-1491.03906803149,-2121.70523986208,-2054.729325722,-2373.04676093166,-3643.5434902461,-2940.76606346987,-4258.50949090319,-3152.25408747753,-1105.55255188135,-3097.73412359153
"MaxWater",2009,-119.075188062323,-3808.03571428571,-4325,-1495.72580794247,-3021.33680541961,-4850,-5036.73561555731,-5097.53299481847,-6731.91967048587,-5736.0334711845,-3649.71636671933,-3159.70532999587
"MaxWater",2010,-3439.51612903226,-3982.14285714286,-3905,-3390.09587654495,-3483.02372955256,-4475,-11061.3156264396,-10893.2499105537,-9554.3555276513,-9547.57853108567,-9176.81649653689,-5290.32258064516
"MaxWater",2011,-4516.12903225806,-4223.21428571429,3305.3253458556,-3975.17625450808,-4726.14504588564,-5000,-9712.49723116235,-10086.3553952042,-10091.320623281,-8992.98385701664,-9310.25498477067,-6186.131999424
