"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"Summer_Even",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9745.04364652163,-10765.7247847531,-10342.228071656,-9427.77874469552,-9500.83111052645,-5290.32258064516
"Summer_Even",2006,-3964.72481969436,-4464.28571428571,-920.665927560805,1948.34593020448,1196.35372343518,-4467.65146413489,-9660.30210904349,-9977.34863756733,-9952.00312750389,-9261.36781513528,-9308.2502966732,-9511.11554328055
"Summer_Even",2007,-5000,-3625.89285714286,-3500,-2453.22233279228,-2762.40593313853,-4400,-11522.4417815728,-5772.82722758536,-7178.52494934963,-6408.38594887423,-6197.7976974291,-3853.60228306823
"Summer_Even",2008,-3126.93548387097,-4040.51724137931,-2773.89702789438,-2408.87473277099,-2507.85419214479,-3705.41170827963,-4059.51258070862,-3152.68195930774,-4478.73859711581,-3531.24967112276,-3194.44116719186,-2174.09038921093
"Summer_Even",2009,-3091.5847442926,-3808.03571428571,-3905,-2791.69085895193,-3030.26778990002,-4400,-6018.43103254611,-5171.55738289611,-6328.63559858142,-5521.16892209287,-3763.33717306646,-3743.65594855375
"Summer_Even",2010,-3126.93548387097,-4030.35714285714,-3905,-3501.70416185368,-3628.97032723957,-4475,-10609.1474637838,-11450.2679670566,-8799.26164196928,-9193.2320011464,-9210.75120103795,-5290.32258064516
"Summer_Even",2011,-4363.70967741936,-4151.40927470419,2051.8030662748,-3742.45097712987,-4776.1858582816,-3666.56231486098,-8087.81573455636,-9118.38502841369,-9721.02312561698,-8709.91176524572,-9107.99355319658,-6808.12152083963
"Summer_Even",2012,-5000,-4250,-3905,-2741.95034288772,-3155.70349999531,-4475,-10926.694304868,-10728.8710016874,-6502.6635043032,-6044.72294367294,-7317.64033929463,-5290.32258064516
"Summer_Even",2013,-4775,-3622.98741496535,-3500,-2004.05840868599,-2936.28841374391,-4400,-11020.4868562159,-5578.371184076,-5271.68619199649,-1425.71969341825,-3458.30879372638,-2556.53250769812
"Summer_Even",2014,-868.865830591897,-4625,-4325,-1599.54516375948,-1820.28824136524,-1563.5558245846,-1661.58216221479,-1412.04281701289,-3073.26388708876,-2068.5135661506,-2170.3492147017,-5290.32258064516
"Summer_Even_AltSMSCG",1995,-3645.16129032258,-4464.28571428571,-4025,-3662.6381977846,-1476.83783205877,-4693.9571062005,-6975.62659362871,-9871.38417734609,-10526.9789616158,-9640.00823201539,-9868.84193899361,-5290.32258064516
"Summer_Even_AltSMSCG",1996,-4516.12903225806,-3594.96047270241,-4550,-4130,-4134.45608532829,-4505,-11016.8284230186,-10992.9800637572,-11114.4064064677,-9336.37997891357,-8354.2135433162,-5068.28096591326
"Summer_Even_AltSMSCG",1997,22449.1977653408,1463.07775512416,-3650,-3472.90016773538,-4041.75909861342,-4505,-10762.0339193212,-11084.5521694499,-10262.7862084038,-8497.7589938457,-8510.10861824971,-9882.21430321077
"Summer_Even_AltSMSCG",1998,-3645.16129032258,2739.39564837737,-3520.77546004875,-2408.45954465557,-1478.62494693812,-3262.58007290994,-6617.25630165487,-8822.24762959485,-9526.36675095793,-8632.06822813222,-8690.45634264229,-5290.32258064516
"Summer_Even_AltSMSCG",1999,-4516.12903225806,-4223.21428571428,-3650,-3457.50408813236,-4010.27604476906,-4505,-11118.0838844681,-11228.3642000562,-11093.7004730136,-9577.38769225969,-9390.27454428159,-3810.31792705869
"Summer_Even_AltSMSCG",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-10397.2581638904,-9820.8258535398,-10532.5933075275,-7389.35839317265,-6213.52912488793,-2844.66270066005
"Summer_Even_AltSMSCG",2001,-4745,-3580.35714285714,-3905,-2069.06575653429,-3022.02788379344,-4400,-6251.71750205509,-4819.58825873258,-5574.16645828545,-3936.83996566166,-6023.44204764621,-5290.32258064516
"Summer_Even_AltSMSCG",2002,-3875.96774193548,-4030.35714285714,-3500,-2679.8362185166,-2697.83802596385,-4400,-11466.6475566717,-6553.10532783454,-5733.58249088236,-5083.05298556754,-5882.51388890835,-5290.32258064516
"Summer_Even_AltSMSCG",2003,-3875.96774193548,-3741.07142857143,-3500,-2550.15906767488,-3402.88708141896,-4490,-11470.5825112667,-10576.372353709,-11289.5555807751,-6634.54718578109,-5895.69009624026,-5290.32258064516
"Summer_Even_AltSMSCG",2004,-4343.38709677419,-4187.93103448276,-3575,-2772.11859003368,-2736.96348488827,-4475,-11265.2866148694,-11158.1378941828,-6935.77055902039,-7265.07734862764,-6256.06501523889,-5290.32258064516
"Summer_Even_AltSMSCG",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9745.04364652163,-10765.7247847531,-10342.228071656,-9427.77874469552,-9500.83111052645,-5290.32258064516
"Summer_Even_AltSMSCG",2006,-3964.72481969436,-4464.28571428571,-920.665927560805,1948.34593020448,1196.35372343518,-4467.65146413489,-9660.30210904349,-9977.34863756733,-9952.00312750389,-9261.36781513528,-9308.2502966732,-9511.11554328055
"Summer_Even_AltSMSCG",2007,-5000,-3625.89285714286,-3500,-2453.22233279228,-2762.40593313853,-4400,-11522.4417815728,-5772.82722758536,-7178.52494934963,-6408.38594887423,-6197.7976974291,-3853.60228306823
"Summer_Even_AltSMSCG",2008,-3126.93548387097,-4040.51724137931,-2773.89702789438,-2408.87473277099,-2507.85419214479,-3705.41170827963,-4059.51258070862,-3152.68195930774,-4478.73859711581,-3531.24967112276,-3194.44116719186,-2174.09038921093
"Summer_Even_AltSMSCG",2009,-3091.5847442926,-3808.03571428571,-3905,-2791.69085895193,-3030.26778990002,-4400,-6018.43103254611,-5171.55738289611,-6328.63559858142,-5521.16892209287,-3763.33717306646,-3743.65594855375
"Summer_Even_AltSMSCG",2010,-3126.93548387097,-4030.35714285714,-3905,-3501.70416185368,-3628.97032723957,-4475,-10609.1474637838,-11450.2679670566,-8799.26164196928,-9193.2320011464,-9210.75120103795,-5290.32258064516
"Summer_Even_AltSMSCG",2011,-4363.70967741936,-4151.40927470419,2051.8030662748,-3742.45097712987,-4776.1858582816,-3666.56231486098,-8087.81573455636,-9118.38502841369,-9721.02312561698,-8709.91176524572,-9107.99355319658,-6808.12152083963
