"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1959-07-31,2946.95013292679,2022.27421401417,444.574110112836,3,29.615844,405.23782,7180,2452.36103226244,"MaxWater_noSMSCG",1959,7
1959-08-31,2644.98622277342,1612.16427807221,370.318425423064,3,41.0362162,727.1258,4477.55252542968,4592.28852900449,"MaxWater_noSMSCG",1959,8
1959-09-30,2651.68920941684,1619.02927652469,366.004762669647,3,81.4831426,1265.1862,2754.3599514714,4596.97579210956,"MaxWater_noSMSCG",1959,9
1959-10-31,2446.01202368234,1416.4166839794,345.310807298005,3,157.855858,1636.7911,3768.77197978554,4202.81389004995,"MaxWater_noSMSCG",1959,10
1959-11-30,2370.55328329651,1278.05482375309,298.821392037996,3,149.9168125,1652.9548,2233.52030221255,2360.52080160012,"MaxWater_noSMSCG",1959,11
1959-12-31,2389.02637946028,1240.37385942998,317.927160165627,3,167.5088935,1638.4199,1615.62363150602,798.607950957,"MaxWater_noSMSCG",1959,12
1960-01-31,2544.69448092475,1244.29976961889,342.92692136625,3,204.305671,1721.0298,3129.20308376133,1141.58632748861,"MaxWater_noSMSCG",1960,1
1960-02-29,3351.78442488452,1722.24325882927,567,5,181.32431125,1314.3257,2215.76029162077,3320.79238112263,"MaxWater_noSMSCG",1960,2
1960-03-31,4066.24601724616,2376.81329352454,756,4,98.552317,493.05896,1988.4838378426,2980.00091052958,"MaxWater_noSMSCG",1960,3
1960-04-30,4301.71825819365,2637.65435700684,877.595643504297,4,34.3058842,249.18901,1094.32063126897,1835.90210595462,"MaxWater_noSMSCG",1960,4
1960-05-31,4217.07183604967,2582.5642782624,828.556952999789,4,31.4085343,264.35394,1218.03844993702,2256.70587674054,"MaxWater_noSMSCG",1960,5
1960-06-30,3760.74400793818,2283.30933399966,737.577771291644,4,31.4570926,340.4545,1513.55318504795,2802.51751119169,"MaxWater_noSMSCG",1960,6
1960-07-31,3208.23406136401,1589.98952947884,594.730241399646,4,30.32561695,430.66467,6706.61267441895,3414.64234771991,"MaxWater_noSMSCG",1960,7
1960-08-31,2946.43904268765,1311.85876744698,470.390714068165,4,82.33762105,1463.6722,1768.62320838308,2840.13565715161,"MaxWater_noSMSCG",1960,8
1960-09-30,2812.69441852982,1284.12373610366,429.064416338221,4,152.211775,1622.1432,372.080518569488,4160.90955536069,"MaxWater_noSMSCG",1960,9
1960-10-31,2630.3425264993,1139.61896394943,390.966279520468,4,169.1841691,1823.7123,1603.61507651702,3129.03674990362,"MaxWater_noSMSCG",1960,10
1960-11-30,2700.44057515872,1124.42110748998,387.944160729472,4,167.34163555,1553.5144,3426.50167855621,2825.10120690502,"MaxWater_noSMSCG",1960,11
1960-12-31,3304.83014898443,1195.5985875962,431.256807356401,4,151.92157945,1716.1711,5334.83097867987,798.607950957001,"MaxWater_noSMSCG",1960,12
